words,property,detail
linchpin,의미:,a person or thing vital to an enterprise or organization.
linchpin,예문:,regular brushing is the linchpin of all good dental hygiene
lingo,의미:,the vocabulary or jargon of a particular subject or group of people
lingo,예문:,"fat, known in medical lingo as adipose tissue"
Lion's share,의미:,the biggest or greatest part.
Lion's share,예문:,"""William was appointed editor, which meant that he did the lion's share of the work"
lofty vision,의미:,
logistics,의미:,"the detailed coordination of a complex operation involving many people, facilities, or supplies."
logistics,예문:,We will talk about the logistics later.
loose lips sink the boats,의미:,
lose sleep over,의미:,lose sleep over something
lose sleep over,예문:,I'm not gonna lose a minute's sleep over this.
low key,의미:,Slightly or kinda
low key,예문:,lowkey it's true
lull,의미:,A lull is a period of quiet or calm in a longer period of activity or excitement.
lull,예문:,"ex) Texas Oil Fields Rebound From Price Lull, but Jobs Are Left Behind"
lump,의미:,Plastim lumped all indirect costs together and the cost-allocation base was not a cost driver of the indirect costs.
M&A land grab,의미:,
mainstay,의미:,a thing on which something else is based or depends.
mainstay,예문:,This mainstay of corporate America is experiencing a low point even as the rest of the economy surges.
make good,의미:,
make good,예문:,"Promise made by a seller to a buyer to make good on a deficiency of quantity, quality, or performance in a product"
manure,의미:,animal dung used for fertilizing land
manure,예문:,"In the early 1900s, Ghosh explained, cars were seen as a solution to the piles of manure and rotting horse carcasses clogging city streets"
masquerade,의미:,
masquerade,예문:,They are subjected to a form of sexism that masquerades as admiration and praise
Midget,의미:,an extremely or unusually small person
misogyny,의미:,"dislike of, contempt for, or ingrained prejudice against women."
misogyny,예문:,she felt she was struggling against thinly disguised misogyny
moment of reckoning,의미:,"the time when one is called to account for one's actions, to pay one's debts, or to fulfill one's promises or obligations."
monogamous,의미:,(monogamy)involving marriage to one person at a time
monogamous,예문:,She admits that she has never been strictly monogamous
monolithic one solution,의미:,
montage,의미:,"the technique of producing a new composite whole from fragments of pictures, text, or music."
montage,예문:,market montage: 'consensus' OPEC and global NG and LNG forecasts; slow down in US tight oil and shale gas productivity gains; 'expected' extensions of renewables polices
morbid,의미:,"characterized by or appealing to an abnormal and unhealthy interest in disturbing and unpleasant subjects, especially death and disease."
morbid,예문:,Many writers have a morbid fear of contractions(단어 줄임)
mouthpiece,의미:,(derogatory)a person or organization that speaks on behalf of another person or organization.
mouthpiece,예문:,they become nothing more than a mouthpiece for the company
Mugshot,의미:,상반신 촬영
mull,의미:,"think about (a fact, proposal, or request) deeply and at length."
mull,예문:,the chinese are mulling their response
murky,의미:,"not fully explained or understood, especially with concealed dishonesty or immorality"
murky,예문:,That's a murky question
"Nipply, nippy",의미:,"(informal)of weather, cold, causing nipples to harden. colder than a witch's tit."
normalcy,의미:,"(=normality)the state of being usual, typical, or expected"
normalcy,예문:,"Essentially, the sharp drop in prices, as well as technological advancements, have created a perfect storm to upend energy normalcy."
not A so much as B,의미:,acting heterosexual is not a social strategy so much as a survival strategy
nuanced,의미:,characterized by subtle shades of meaning or expression
nuanced,예문:,Bain's global experience within key energy industries allow for more nuanced view of potential disruptors and their likely impact by 2030.
obnoxious,의미:,Very annoying or objectionable; offensive or odious
obnoxious,예문:,The people at my table were so obnoxious I had to change my seat.
off the cuff,의미:,(informal)without preparation
off the cuff,예문:,off-the-cuff thoughts
on an equal footing,의미:,with the same rights and conditions as someone you are competing with
on an equal footing,예문:,We want to ensure that women can take part on an equal footing to men.
On one's 'A' game,의미:,one's best possible performance
On one's 'A' game,예문:,You have to be on your 'A' game.
on the cusp of,의미:,a point of transition between two different states
on the cusp of,예문:,"According to Wood Mackenzie, the energy industry presents all the signs of an industry on the cusp of disruption"
on-coming,의미:,approaching; moving toward.
on-coming,예문:,she walked into the path of an oncoming car
or lack thereof,의미:,used to say that there is not enough of the thing that has been mentioned
or lack thereof,예문:,"the relationship between washington and puerto rico, or lack thereof depending on how you look at it"
or whatnot,의미:,
ostentatious,의미:,characterized by vulgar or pretentious display; designed to impress or attract notice.
ostentatious,예문:,books that people buy and display ostentatiously but never actually finish
ostracism,의미:,"exclusion from a society or group.,a method of temporary banishment by popular vote without trial or special accusation practiced in ancient Greece"
ostracism,예문:,For years she suffered ostracism from the scientific community.
Out of spite,의미:,"""Out of spite"" is an English idiom and most usually it means with the desire to harm someone or something. In other words, to deliberately hurt someone because they have hurt you (or because you thought they have hurt you)."
outlay,의미:,
outlay,예문:,"Ultimately, though, issuing more debt and relying on negative worIf working capital is temporarily negative, it typically indicates that the company may have incurred a large cash outlay or a substantial increase in its accounts payable as a result of a large purchase of products and services from its vendors."
ovation,의미:,
ovation,예문:,received a standing ovation
oversight,의미:,an unintentional failure to notice or do something.
oversight,예문:,"Although we have no doubt that your oversight was a good-faith eroror, we hope that you understand why we can't satay in the building and have made plans to go elsewhere."
overtly,의미:,
overtly,예문:,"Doing femininity, however, also disadvantages women because femininity is overtly disparaged and disempowering"
pad,의미:,"fill or cover (something) with a soft material in order to give it a particular shape, protect it or its contents, or make it more comfortable."
pad,예문:,"Don’t even think about “hiding” your GPA, padding your resume, lying about dates, etc. ? it is guaranteed to backfire."
pad,예문:,Eliminate padding that doesn't contribute to your meaning
palatable,의미:,(?pal?d?b(?)l)(of an action or proposal) acceptable or satisfactory.
palatable,예문:,"Doublespeak may take the form of euphemisms, in which case it is primarily meant to make the truth sound more palatable"
peel off,의미:,leave the formation by veering away to one side.
peel off,예문:,"(when I cycled with the cycling member and was about to call it a day, the dude said) you can peel off there(저기서 옆으로 빠져서 돌아가면 돼!)"
per se,의미:,"in, by itself"
perfect storms,의미:,small things gather into a huge shit
perilous,의미:,full of danger or risk.
perilous,예문:,"Not only naive, but perilous"
permissive,의미:,allowing or characterized by great or excessive freedom of behavior.
permissive,예문:,The sexual attitudes and behaviors of young people have become increasingly permissive
perp walk,의미:,"an act of walking into or out of a police station, courthouse, etc., that a person in police custody is made to perform for the benefit of the media."
perp walk,예문:,I don't need a perp walk
pertinent,의미:,(pertinent to)relevant or applicable to a particular matter
pertinent,예문:,pertinent to UConn
pertinent,예문:,practitioners must consider all factors pertinent to a situation
pertinent,예문:,she asked me a lot of very pertinent questions
pet peeve,의미:,something that a particular person finds especially annoying.
pet peeve,예문:,one of my biggest pet peeves is poor customer service.
pinch,의미:,"grip (something, typically someone's flesh) tightly and sharply between finger and thumb."
pinch,예문:,"pinch me, i might be dreaming"
platitude,의미:,"a flat, dull, or trite remark, especially one uttered as if it were fresh or profound."
platitude,예문:,They are just platitudes. They don't mean anything.
plausible deniability,의미:,Plausible deniability is the ability of people (typically senior officials in a formal or informal chain of command) to deny knowledge of or responsibility for any damnable actions committed by others in an organizational hierarchy because of a lack of evidence that can confirm their participation
plausible deniability,예문:,"Either Stensland's out and we double our billings, or you have plausible deniability and he stays with the firm"
Play it by ear,의미:,"We say play it by ""ear"" because we are making decisions as we HEAR them. This means we are not making any final plans right now because we might hear of other things that could prevent us from being able to participate. So basically it means I might have better shit to do."
Play it by ear,예문:,Aimee: Hey can you hang out tomorrow night? John: I might have to work late so let's play it by ear.
plow,의미:,
plow,예문:,companies plow the largest portion of their cash holdings into corporate debt
polygamous,의미:,the practice or custom of having more than one wife or husband at the same time
polygraph,의미:,"a machine designed to detect and record changes in physiological characteristics, such as a person's pulse and breathing rates, used especially as a lie detector."
pompous,의미:,"affectedly and irritatingly grand, solemn, or self-important."
pompous,예문:,"When they choose overblown words over everyday equivalents, don't they strike you as pompous?"
potentiate,의미:,"increase the power, effect, or likelihood of (something, especially a drug or physiological reaction)."
potentiate,예문:,"It potentiates killing of bacteria, directly by producing additional antimicrobial agents"
precarious,의미:,dangerously likely to fall or collapse
precarious,예문:,a precarious ladder
precipitously,의미:,very steeply
precipitously,예문:,"Battery prices have fallen precipitously as well, having already hit cost projections for 2030."
preclude,의미:,prevent from happening; make impossible.
preclude,예문:,the secret nature of his work precluded official recognition
preclude,예문:,"women, then, need husbands to support them and help discipline the children, behaviors precluded by a feminine demeanor."
predicament,의미:,"a difficult, unpleasant, or embarrassing situation."
predicate,의미:,found or base something on.
predicate,예문:,But the prospect of raising billions of dollars in capital for fresh projects at the same time as the industry is shuttering earlier ill-judged ventures?some of which were predicated on optimistic new paradigms ultimately based on guesswork regarding future Chinese demand?is daunting.
primer,의미:,an elementary textbook that serves as an introduction to a subject of study or is used for teaching children to read.
primer,예문:,A primer of good usage
pro forma,의미:,"The term pro forma (Latin for ""as a matter of form"" or ""for the sake of form"") is most often used to describe a practice or document that is provided as a courtesy or satisfies minimum requirements, conforms to a norm or doctrine, tends to be performed perfunctorily or is considered a formality."
proceed apace,의미:,quickly; swiftly.
proceed apace,예문:,"Apparently, the diligence wasn't proceeding apace"
proctor,의미:,serve as a proctor(a person who monitors students during an examination.).
proctor,예문:,"We have no facilities for proctoring exams, so the best I can offer you is to take the exam Thursday 12/7 in the afternoon."
Prop up,의미:,"to support, or prevent from falling, with or as if with a prop (often followed by up)"
Prop up,예문:,They are trying to prop up struggling coal and nuke plants.
protege,의미:,a person who is guided and supported by an older and more experienced or influential person.
protege,예문:,he was an aide and prot?g? of the former Tennessee senator
provisional,의미:,"arranged or existing for the present, possibly to be changed later."
provisional,예문:,"Just as any boy can temporarily be a fag, so can any girl provisionally fill the slut position"
pull rank on someone,의미:,to use the power that your position gives you over someone in order to make them do what you want
pull rank on someone,예문:,"you need my help, and you are not gonna pull rank on me?"
pulled pork,의미:,"Pulled pork is a method of cooking pork where what would otherwise be a tough cut of meat is cooked slowly at low temperatures, allowing the meat to become tender enough so that it can be ""pulled"", or easily broken into individual pieces"
Puppetry major,의미:,
purge,의미:,"(1) to rid (a nation, a political party, etc.) by a purge (2) to get rid of"
purge,예문:,"From its origins, US immigration law has put in place mechanisms for regulating those migrants it does allow in, always under threat of deportation, and labeling other migrants “undesirable” to both make them more exploitable by their bosses and easier to purge."
puritanical,의미:,practicing or affecting strict religious or moral behavior.
puritanical,예문:,"Homophobic social stigmas, the long-standing challenges of rampant sexual abuse, and a society steeped in a generations old puritanical mistrust of physical pleasure have created an isolating trap in which American men can go for days or weeks at a time without touching another human being."
purport,의미:,"appear or claim to be or do something, especially falsely; profess"
purport,예문:,she is not the person she purports to be
purport,예문:,The COGS method does not indicate what it purports to represent.
put a face to the name,의미:,"If you've heard a lot about a person and finally got to meet them, you might say it's nice to finally put a face to the name."
put a face to the name,예문:,He'll wanna put a face to your name
putting in(into) perspective,의미:,"To ""put things in perspective"" means to see them from an objective viewpoint; This means to compare with something similar to help one get a better and clearer view of something."
putting in(into) perspective,예문:,"You don't think it's that big a deal? Well, let me put it into perspective for you: each of us will get 10 years in prison if we're caught."
Quintessential,의미:,representing the most perfect or typical example of a quality or class.
Quintessential,예문:,"he was the quintessential tough guy?strong, silent, and self-contained"
raisin,의미:,a partially dried grape.
rampant,의미:,(especially of something unwelcome or unpleasant) flourishing or spreading unchecked
rampant,예문:,"Homophobic social stigmas, the long-standing challenges of rampant sexual abuse, and a society steeped in a generations old puritanical mistrust of physical pleasure have created an isolating trap in which American men can go for days or weeks at a time without touching another human being."
ranks,의미:,The ranks of a group or organization are the people who belong to it.
ranks,예문:,"ex)?As in other industries, automation is creating a new demand for high-tech workers ? sometimes hundreds of miles away in a control center ? but their numbers don’t offset the ranks of field hands no longer required to sling chains and lift iron."
ranks,예문:,"The three plants join the ranks of more than 200 plants that have closed in the past decade due to age, a losing battle against low-cost natural gas and renewable energy, low or negative demand growth, and pollution regulations."
rant,의미:,"speak or shout at length in a wild, impassioned way."
rant,예문:,sorry for ranting
rat someone out,의미:,To betray or inform on someone
rat someone out,예문:,I didn't feel like ratting him out
ratchet up,의미:,
ratchet up,예문:,"Ultimately, though, issuing more debt and relying on negative working capital ratchets up your funding risk."
ratify,의미:,"sign or give formal consent to (a treaty, contract, or agreement), making it officially valid."
ratify,예문:,And the board will ratify the sale of the factory tomorrow.
rebuttal,의미:,a refutation or contradiction.
rebuttal,예문:,"now that you've heard the accusations, have you a rebuttal"
recede,의미:,to grow less or smaller
recede,예문:,"When students are working on skills like reading or math, the teacher would typically arrange them in mixed sex groups by skill level. In these moments, the importance of gender receded."
recourse,의미:,구상권(the legal right to demand compensation or payment.)
recourse,예문:,"For receivables sold without recourse, the seller of the receivable assumes no responsibility for any credit losses associated with the transferred receivables."
reference point,의미:,"a basis or standard for evaluation, assessment, or comparison; a criterion."
reference point,예문:,"To give you guys a reference point, I run 8 miles an hour."
reflect on,의미:,"to affect other people's opinion of someone or something, especially in a bad way"
reflect on,예문:,"When one player behaves disgracefully, it reflects (badly) on the whole team."
reimbursable from,의미:,
reimbursable from,예문:,"Best value pays 2,250 dollars for local advertising costs that are reimbursable from Nelba"
relay,의미:,receive and pass on (information or a message).
relay,예문:,"We also talked about ways to make the writing more objective, since your assignment was to relay the writers' text without commentary."
relenting,의미:,
relenting,예문:,"in spite of relenting pressure to make the most of what they have, women are ridiculed and dismissed for their interest in such trivial things as clothes and make-ip"
Renege,의미:,
repel,의미:,drive or force (an attack or attacker) back or away.
repel,예문:,irritate or repel someone as by stroking a cat against the lie of its fur.
replete,의미:,filled or well-supplied with something
replete,예문:,We are part of a society that is replete with institutions.
reprehensible,의미:,deserving censure or condemnation.
reprehensible,예문:,I found this particularly reprehensible
reprimand,의미:,"rebuke (someone), especially officially."
reprimand,예문:,"YOu may occasionally need to reprimand someone in an e-mail to clearly explain a misstep, to make a record of it, or both."
repudiate,의미:,refuse to accept or be associated with.
repudiate,예문:,Flannery's changes repudiate much of Immelt's vision of a digital industrial company that builds software to mange and optimize GeE's jet engines.
repudiate,예문:,she has repudiated policies associated with previous party leaders
repurpose,의미:,
repurpose,예문:,Germany repurposes an old coal mine into a rewewables energy battery?
resin,의미:,"a sticky flammable organic substance, insoluble in water, exuded by some trees and other plants"
rife,의미:,"If you say that something, usually something bad, is rife in a place or that the place is rife with it, you mean that it is very common."
rife,예문:,"ex)?So while there is a general sense of relief in the oil patch that a recovery is gaining momentum, discussions at company meetings and family kitchen tables are rife with aching worries, especially among those who are middle-aged with no more than a high school education."
root for somebody / something,의미:,to express your support for the success of someone or something
root for somebody / something,예문:,"The crowds have been large, with the vast majority of the fans rooting for Mexico."
rubs me the wrong way,의미:,irritate or repel someone as by stroking a cat against the lie of its fur.
run down,의미:,낡다
salient,의미:,determine the salient aspects of the article that should be focused on during our classroom discussion/interaction
scaffolding,의미:,a supporting framework
scaffolding,예문:,institutions create a relatively stable scaffolding on which we buid our lives.
scathing,의미:,witheringly scornful; severely critical.
scathing,예문:,it has received so much scathing criticism
Scrap,의미:,
Scrap,예문:,High end cooler maker yetti has scrapped its plans to go public
scrotum,의미:,음낭
scurry,의미:,(of a person or small animal) move hurriedly with short quick steps.
scurry,예문:,The frightened silence as we scurry past a woman being hassled by men on the street
sellout,의미:,
corporate hacks,의미:,
corporate shill,의미:,
set off,의미:,"The phrase ""set off from"" has a very common usage, meaning ""distanced from"". So the text of a page can be ""set off from"" the edge of a page by a margin, or a person can be ""set off from"" the competition by their unique qualities."
set off,예문:,"In the first example, the appositive Pat is not set off by commas from the rest of the sentence.(끊어지다)"
Stacked Against,의미:,
Stacked Against,예문:,Sexual Misconduct Allegations Stacked Against Casino Mogul
sham,의미:,a thing that is not what it is purported to be.
sham,예문:,the proposed legislation is a farce and a sham
shed,의미:,"a simple roofed structure, typically made of wood or metal, used as a storage space, a shelter for animals, or a workshop."
shed,예문:,he hauled his bike out of the shed
shenanigans,의미:,secret or dishonest activity or maneuvering.
shenanigans,예문:,"As we get ready for food, family, and Wednesday night shenanigans, we decided to step back and appreciate what gave way to this tradition in the first place."
shutter,의미:,close the shutters of (a window or building).
shutter,예문:,But the prospect of raising billions of dollars in capital for fresh projects at the same time as the industry is shuttering earlier ill-judged ventures?some of which were predicated on optimistic new paradigms ultimately based on guesswork regarding future Chinese demand?is daunting.
sit with me,의미:,"If X is a food or beverage that ""doesn't sit with me well,"" it means that X does not agree with (or is not accepted by) my digestive system."
sit with me,예문:,Milk doesn't sit well with me before or after tough workouts.
Skittish,의미:,"(of an animal, especially of a horse) excitable or easily scared"
Skittish,예문:,"a skittish chestnut mare"""
slatted,의미:,having slats.
slatted,예문:,a slatted wooden case used for transporting or storing goods
slatted,예문:,"slat: a thin, narrow piece of wood, plastic, or metal, especially one of a series that overlap or fit into each other, as in a fence or a Venetian blind."
slippery slope,의미:,
sloppy,의미:,"casual,"
smug(adj.),의미:,having or showing an excessive pride in oneself or one's achievements.
smug(adj.),예문:,"to look at or think about with great or excessive, often smug or malicious, satisfaction"
snuggle,의미:,"settle or move into a warm, comfortable position."
snuggle,예문:,I snuggled down in my sleeping bag
spree,의미:,a spell or sustained period of unrestrained activity of a particular kind.
spree,예문:,"In 1989, Marc Lepine killed fourteen women in a forty-five-minute killing spree at the Ecole Polytechinique in Montreal."
spry,의미:,(especially of an old person) active; lively.
spry,예문:,We all struggle as we get older and our bodies become less spry.
stack something up against something else,의미:,to compare (something or someone) with others of the same kind
stack something up against something else,예문:,"I would stack my engine up against that engine and everyone else's, and mine win"
stack something up against something else,예문:,"STACK AGAINST:?if something is stacked against you, it is unfair and will probably cause you to fail"
staged approach,의미:,점진적인 접근
staged approach,예문:,"Half of the companies surveyed did not pursue a staged approach when introducing ZBB(Zero based budgeting) but launched it simultaneously across all of their markets, Mr. Timmermans said"
stall,의미:,stop or cause to stop making progress.
stall,예문:,I still need something to stall Stanley.
Steep,의미:,surround or fill with a quality or influence.
Steep,예문:,"Homophobic social stigmas, the long-standing challenges of rampant sexual abuse, and a society steeped in a generations old puritanical mistrust of physical pleasure have created an isolating trap in which American men can go for days or weeks at a time without touching another human being."
stick one's neck out,의미:,risk incurring criticism or anger by acting or speaking boldly.
stick one's neck out,예문:,He stuck his neck out!
Stickler,의미:,a person who insists on a certain quality or type of behavior.
Stickler,예문:,"""a stickler for accuracy"
Stickler,예문:,be a stickler for continuity
stonewall,의미:,"delay or block (a request, process, or person) by refusing to answer questions or by giving evasive replies, especially in politics."
stonewall,예문:,"If you try to stonewall me, I will make you out on the street in less than a week"
stoop,의미:,"If you stoop, you bend your body forwards and downwards."
stoop,예문:,"ex)?“I don’t see a future,” Mr. Velazquez, 44, said on a recent afternoon as he stooped over his shopping cart at a local grocery store."
stride,의미:,a step or stage in progress toward an aim.
stride,예문:,great strides have been made toward equality
Strike,의미:,to cause (someone) to think about someone or something in a particular way
Strike,예문:,Her comment struck me as odd.
Strike,예문:,"When they choose overblown words over everyday equivalents, don't they strike you as pompous?"
stroke,의미:,"move one's hand with gentle pressure over (a surface, especially hair, fur, or skin), typically repeatedly; caress."
stroke,예문:,he put his hand on her hair and stroked it
subliminal,의미:,perceived by or affecting someone's mind without their being aware of it.
subliminal,예문:,The transitions in really good writing are almost subliminal-but they are carefully placed where reader will need them
subsequent to,의미:,coming after something in time; following
subsequent to,예문:,Describe the accounting treatment for costs subsequent to acquisition
subvert,의미:,
subvert,예문:,"While these transgender performances subvert the hegemonic norms of masculinity and femininity, they also collaborate with the military androcentric norms."
succintly,의미:,
supplant,의미:,
supplant,예문:,what technology has the best chance of supplanting lithium-ion as the dominant utility-scale advanced storage technology?
swath,의미:,a broad strip or area of something.
swath,예문:,Sustainable practices have been spreaading far beyond these early adopters to a broad swath of businesses.
sweep something under the rug,의미:,to hide something damaging or unpleasant and try to keep it secret
sweep something under the rug,예문:,This scandal can’t be swept under the rug.
sweeping,의미:,(all-inclusive)wide in range or effect.
sweeping,예문:,Accounting Group Seeks Sweeping Federal Guidance on New Tax Law
syntax,의미:,the arrangement of words and phrases to create well-formed sentences in a language.
syntax,예문:,It's true of syntax no less than it's true of eating or anything else
tail off,의미:,"gradually diminish in amount, strength, or intensity."
tail off,예문:,"Let the rides get a little rusty, and ticket sales start to tail off"
tally,의미:,calculate the total number of.
tally,예문:,They may change their thoughts after tallying their monthly bills and discovering that skyrocketing operational costs have significantly reduced their profits.
telltale,의미:,Here are some of the telltale signs of when an ABC system is likely to provide the most benefits
telltale,의미:,revealing or indicating that which is hidden or meant to be secret
telltale,예문:,the telltale smell of alcohol on his breath
therapeutic,의미:,relating to the healing of disease.
therapeutic,예문:,many years of under?investment in new therapeutic strategies
thermostat,의미:,"a device that automatically regulates temperature, or that activates a device when the temperature reaches a certain point."
threshold,의미:,"the magnitude or intensity that must be exceeded for a certain reaction, phenomenon, result, or condition to occur or be manifested."
through thick and thin,의미:,in good times and bad times
through thick and thin,예문:,My brother has stuck with me through thick and thin.
throw something one's way,의미:,"it means give someone some work to do. it implies two things: firstly that the work is not permanent employment, but some short term work; secondly, that the work is for pay."
throw something one's way,예문:,I understand he's throwing a large amount of legal work our way with the company's factory sale.
tightwad,의미:,a mean or miserly person.
tightwad,예문:,He's such a tightwad
tipsy,의미:,slightly drunk
tipsy,예문:,you're too tipsy to be driving home
To that effect,의미:,
To that effect,예문:,House speaker paul ryan has received assurances to that effect
to the best of my knowledge,의미:,"used for saying that you think your statement is true, because it is based on what you know/believe, but you are not completely sure"
to the best of my knowledge,예문:,"To the best of my knowledge, no similar book has been published."
To the extent,의미:,
To the extent,예문:,A core premise of this theory is that a goal is motivating to the extent that an individual can visualize its attainment.
To the extent,예문:,"This says that some goal will motivate people, but only as much as they can see in their mind's eye what happens when the goal is met. You could dispute this claim by saying that zealots are motivated by devotion and don't need to visualize results at all to stay motivated. But the SAGE theory says otherwise, linking motivation and visualization and saying that the latter limits the former."
topsy-turvy,의미:,confused and in the wrong order
topsy-turvy,예문:,"Friday capped a topsy-turvy week for General Electric (NYSE: GE) stock, as a topsy-turvy last day of the week."
Trade off,의미:,"If you trade off one thing against another, you exchange all or part of one thing for another, as part of a negotiation or compromise."
Trade off,예문:,They cynically tried to trade off a reduction in the slaughter of dolphins against a resumption of commercial whaling.
Trade off,의미:,to balance two things or situations that are opposed to each other
Trade off,예문:,They were attempting to trade off inflation against unemployment.
Trade off,예문:,They traded off a positive rate of inflation for a lower unemployment rate
trade-in allowance,의미:,Sales promotion technique in which the buyers are offered a fixed discount (called trade-in allowance) on the price of a new model or item in exchange for a older model or item.
trade-in allowance,예문:,"The new model lists for $16,000. Jerrod gives Information Processing a trade-in allowance of $9,000 for the used machine."
Traverse,의미:,travel across or through.
Traverse,예문:,"It is converted back into a wireless signal to traverse the final leg, from tower to the recipient's phone."
tremor,의미:,
tremor,예문:,"Among 24 reactors in the nation, 18 are located along the southeastern coast, which is more exposed to tremors."
trepidation,의미:,a feeling of fear or agitation about something that may happen.
trepidation,예문:,the men set off in fear and trepidation
trickle down,의미:,(맥락 구어체)
trite,의미:,"(adj.)(of a remark, opinion, or idea) overused and consequently of little import; lacking originality or freshness."
trite,예문:,"a flat, dull, or trite remark, especially one uttered as if it were fresh or profound."
Truncate,의미:,shorten (something) by cutting off the top or the end.
Truncate,예문:,"The deadline comes due, so they are trying to truncate the negotiation. But it's hard to tell whether they could manage something significant in that time frame."
"tuck someone in, tuck someone into bed",의미:,애들 재워주는 것. 이불 덮어주고
Tumultuous,의미:,"making a loud, confused noise; uproarious"
Tumultuous,예문:,"Bob, we certainly saw some tumultuousness last week with fears over a trade war rattling US markets.? ??"
tweezer,의미:,Tweezers are small tools used for picking up objects too small to be easily handled with the human hands.
Two cents,의미:,an cunsolicited opinion
Two cents,예문:,That's my two cents
unequivocally,의미:,in a way that leaves no doubt.
unequivocally,예문:,"we unequivocally condemn any violence in the protest"""
unwieldy,의미:,(of a system or bureaucracy) too big or badly organized to function efficiently.
uphold,의미:,maintain (a custom or practice).
uphold,예문:,The delayed submission and the quality of prior work do not remove Chen's requirement to uphold the designated review process
usurp,의미:,take (a position of power or importance) illegally or by force.
usurp,예문:,Ingham resented anyone who might try to usurp his authority.
ward off,의미:,They ward off unwanted attention from the other sex.
warrant,의미:,Many companies have found the strategic and operational benefits of a less-detailed ABC system to be good enoughto not warrant(bring about) incurring the costs and challenges of operating a more detailed system.
wedge,의미:,"a piece of wood, metal, or some other material having one thick end and tapering to a thin edge, that is driven between two objects or parts of an object to secure or separate them."
weigh in on,의미:,
weigh in on,예문:,"weight in on, Experts weigh in on the top themes in energy storage."
whatof,의미:,what about
whatof,예문:,ex)?what of presidential promises to bring them back?
Wiggle room,의미:,"capacity or scope for negotiation or operation, especially in order to modify a previous statement or decision."
Wiggle room,예문:,Now they've given themselves some wiggle room.? ? ?
win out,의미:,"If something or someone wins out or wins through, they are successful after a competition or struggle"
win out,예문:,Here is a chance for greengrocers to win out over the supermarkets by selling local produce
Windfall,의미:,"a piece of unexpected good fortune, typically one that involves receiving a large amount of money."
Windfall,예문:,Tesla's CFO acknowledged the limits of working capital windfalls on the earnings call
woodchuck,의미:,
yank,의미:,"to pull or jerk off something, such as a piece of clothing"
yank,예문:,She yanked her jacket off
Cleave to,의미:,
Hiccup,의미:,mistake
Out of hand,의미:,not taking time to think
